,uid,name,latitude,longitude,contact,age,standard_rate,service_range,availability
0,419620000,Prime Enterprise,19.277531,72.857833,8267226758,22,1000,5,1
1,419620001,Chaudhary Aircon,19.04425107,73.07183266,7534563001,56,1000,5,1
2,419620002,National Aircon,19.1407436,72.83401640000001,7361206837,39,1500,2,1
3,419620003,N C Service Centre,19.242148999999998,72.860051,9610403741,23,1500,1,1
4,419620004,Cool Touch,19.077536399999996,72.83123690000001,8806048602,49,1000,1,1
5,419620005,P R Service Center,19.0597956,72.832463,7644541572,26,1200,5,1
6,419620006,Harsh Cool Service,19.013676899999997,73.0920934,8437414233,32,1500,2,1
7,419620007,Snow Sales & Services,19.0538711389,72.8374786111,7248337756,41,1500,1,1
8,419620008,Iconic Cool Services,19.4053576945,72.8234522538,9456247381,43,1500,1,1
9,419620009,Weather Cool Engineers,19.1872297,72.9728152,8356720514,50,1500,5,1
10,419620010,Delta Engineering,19.093239999999998,72.8823996,9701884371,53,1200,1,1
11,419620011,S S Cool Repairs & Services,19.089900600000004,72.8946948,9257475282,49,1500,1,1
12,419620012,Urban Services,19.066086399999996,72.8245975,8007243237,27,1200,5,1
13,419620013,National Aircondition,19.144172,72.82929200000001,7045731323,47,1500,2,1
14,419620014,High Cool,19.1866417,72.9472423,7634400007,37,1500,2,1
15,419620015,Perfect Cool Services,19.194917999999998,72.832792,8362286328,29,1500,5,1
16,419620016,Mac Engineers,19.136014000000003,72.811104,9568518255,34,1000,1,1
17,419620017,Sharp Cool Services,19.160698999999997,72.832409,7635338624,44,1500,1,1
18,419620018,Noman Cool Services,19.037114000000003,73.014122,7872683608,33,1200,2,1
19,419620019,Supreme Services,19.27851675,72.860313388889,9138873054,51,1000,2,1
20,419620020,Quick Cool Services,19.1647919,72.8351389,7137458337,24,1000,2,1
21,419620021,Quick Cool,19.086012300000004,72.8432406,9037773801,52,1000,2,1
22,419620022,Naaz AIR Condition,19.119787,72.870734,9050603267,28,1500,2,1
23,419620023,Star Cool INDIA,19.140148999999997,72.836988,8625147462,49,1500,1,1
24,419620024,Bombay Cool,19.094169,72.849871,8613338154,29,1200,1,1
25,419620025,AIR Cool Services,19.099877,72.916158,9674147270,42,1200,5,1
26,419620026,Quick Repairs Services,19.119189000000002,72.899811,7112845781,27,1000,2,1
27,419620027,Paramount Aircondition,19.1174156,72.8292536,7483871068,42,1200,5,1
28,419620028,SS Cool Services,19.123155,72.91261999999999,7227153026,38,1500,1,1
29,419620029,Vijay Appliances,19.071181,72.868376,9272878436,26,1200,5,1
30,419620030,Nalanda Inverter Air Condi..,18.987938888889,73.11428055555601,9683100425,24,1500,5,1
31,419620031,Sarvadnya Enterprises,19.145078,73.2452345,8868714277,39,1200,2,1
32,419620032,Zip AIR Condition,19.0815409,72.85670400000001,8388663865,35,1500,2,1
33,419620033,National Cool Services,19.418562100000003,72.82304570000001,9210460555,46,1500,2,1
34,419620034,Croma (R City Mall),19.099341,72.91689699999999,7178624817,48,1500,2,1
35,419620035,Croma,19.213471,72.842628,7573118385,38,1500,2,1
36,419620036,Reliance Digital Retail Ltd,19.2219059,72.9772371,9378826717,31,1000,5,1
37,419620037,Reliance Digital Retail Ltd..,19.2030734,72.9650728,8756568164,30,1200,2,1
38,419620038,Goodluck Service Center,19.067007999999998,73.0082837,7211821781,44,1000,2,1
39,419620039,Reliance Digital Retail Ltd,19.226660199999998,73.16262629999999,8566011661,19,1200,1,1
40,419620040,Reliance Digital Retail Ltd..,19.223748999999998,72.850029,8233707658,50,1500,5,1
41,419620041,WHIRLP00L Service Centre,19.231710999999997,72.825383,7073815801,24,1000,5,1
42,419620042,Reliance Digital Retail Ltd,19.011882999999997,73.0356006,9043882758,28,1500,2,1
43,419620043,Reliance Digital Retail Ltd..,19.234934,73.122388,9764857505,25,1200,5,1
44,419620044,Reliance Digital Retail Ltd..,19.088618,72.837553,7374472068,40,1200,2,1
45,419620045,Reliance Digital (Phoenix M..,19.085856,72.888628,7142214557,49,1000,5,1
46,419620046,Perfect Service,19.2017193,72.8440762,9824003640,34,1000,5,1
47,419620047,Shree Jain Traders,19.207518,72.96449399999999,8413281707,51,1200,2,1
48,419620048,Reliance Digital Retail Ltd..,19.183865,72.951675,9088035777,52,1500,5,1
49,419620049,LG Electronics India Pvt Lt..,19.2104262,72.97638,8664420086,26,1000,5,1
50,419620050,S S Cooling System,19.1737218,72.8605181,8285437840,56,1200,5,1
51,419620051,Synergy Enterprises,19.423587,72.808634,9464887088,53,1500,1,1
52,419620052,Malaika Appliances Pvt Ltd,19.2815346,72.8753185,8862846558,24,1200,5,1
53,419620053,Kenstar Service Centre,19.109513,72.88316,7627276484,41,1000,1,1
54,419620054,Synergie Service Centre,18.979201999999997,72.833618,9543051628,37,1500,1,1
55,419620055,Gayatri Services,19.145271666667,72.992446666667,8814814430,36,1500,5,1
56,419620056,Ideal Cooling Point,19.238953,72.864462,9144767882,50,1500,2,1
57,419620057,I Electronix,18.9487799,72.836044,8821132584,42,1200,5,1
58,419620058,Climate Control,19.03809,72.839927,9866181228,41,1200,5,1
59,419620059,Jay Ambe Sales & Services,19.040759299999998,73.01963520000001,7206741753,26,1000,1,1
60,419620060,Reliance Digital Retail Ltd,18.96753878,72.81839677,9216154176,26,1500,1,1
61,419620061,Waves Enterprises,19.253856638889,73.15306852777799,8401777843,51,1000,5,1
62,419620062,Johnson Controls India Pvt ..,19.128939300000003,72.9294123,9537855102,36,1200,1,1
63,419620063,Malaika Appliances Pvt Ltd,19.254538800000002,72.8610621,7677665378,44,1200,5,1
64,419620064,Geet Gunjan House Of Electr..,19.119238816202,72.850921489298,8736216337,31,1000,1,1
