,uid,name,latitude,longitude,contact,age,standard_rate,service_range,availability
0,419720000,Simones Salon & Spa,19.135731200000002,72.8098844,8871154034,35,100,1,1
1,419720001,Carezza Beauty,19.070110999999997,72.837602,7685822661,20,200,2,1
2,419720002,Touch Of Class Family Hair ..,18.955313699999998,72.8000574,7171150340,30,150,2,1
3,419720003,Peacock Salon,19.073415,72.998632,9185402420,51,200,1,1
4,419720004,Rasika Xplizit,19.449344,72.803635,9865702307,49,250,1,1
5,419720005,Radiance Salon Spa and Acad..,19.2136026,72.8690103,7017827270,49,200,5,1
6,419720006,Beryl Salon Spa and Academy,19.2320747276,72.847848498,7130883065,23,100,1,1
7,419720007,Time Machine Salon,19.0690181944,73.00932377779999,8042757203,39,150,1,1
8,419720008,Kapils Salon (Orion Mall),18.993161999999998,73.115555,7407811118,38,200,2,1
9,419720009,Estera Hair And Beauty Stud..,19.0431451,72.84229140000001,8180637015,23,250,1,1
10,419720010,Nafi Beauty Salon And Spa,19.242252399999998,73.14667829999999,7663087074,37,200,2,1
11,419720011,A K Pawar Beauty Porlour,19.036865805555998,73.102244111111,9631647081,21,200,5,1
12,419720012,Professional Family Salon,19.070869000000002,73.079279,8654758822,29,150,5,1
13,419720013,Ambys Salon & Spa,18.957662555556,72.819976805556,9202520347,42,150,1,1
14,419720014,Adore Me (Ladies Only),19.0462283889,73.0634514722,9737485653,35,200,1,1
15,419720015,Nirvata Spa,19.2236567,72.8412661,7446372845,28,250,1,1
16,419720016,Maitree Makeup Mantra,19.248630444444,73.136151222222,9536075468,30,200,2,1
17,419720017,Scissors Noise The Family S..,19.063534,72.99717700000001,9851072336,36,100,5,1
18,419720018,Jawed Habib Hair & Beauty S..®,18.972259,72.81493499999999,7058408670,39,250,5,1
19,419720019,Turquoise Unisex Salon Spa,19.173858,72.841567,9324762741,51,250,5,1
20,419720020,Niyati Beauty Salon Spa and..,19.158167300000002,73.07605009999999,7877646648,48,100,1,1
21,419720021,H D The Luxury Salon,18.954531600000003,72.8149832,9644706315,37,150,5,1
22,419720022,Professional Ladies Salon,19.070879194444,73.079350888889,8443627073,28,200,5,1
23,419720023,Shivas Stylo (Head Office),19.135471,72.83139,8007322548,29,200,2,1
24,419720024,A V Makeup & Hair Academy,19.274847,72.860651,9434485443,26,100,1,1
25,419720025,Ada Beauty Parlour,19.1191416667,73.0022055556,8620576565,23,150,1,1
26,419720026,Haven Salon,19.136056,72.847887,7782571384,30,100,5,1
27,419720027,Lasea,18.936282300000002,72.8341024,8364617027,19,250,1,1
28,419720028,Shell Hair & Beauty,19.1059046,72.8417834,8288862205,40,250,1,1
29,419720029,Rutus Beauty Parlour and tr..,19.012097222222,72.823944444444,8830718027,41,250,1,1
30,419720030,Stylovy Unisex Salon,18.986986111111,72.836158333333,8024585648,56,250,5,1
31,419720031,Amresa Salon and Spa,19.061699899999997,72.849509,8487074686,34,150,5,1
32,419720032,Jawed Habib Hair & Beauty S..®,19.3743813,72.82422209999999,8637752610,49,100,1,1
33,419720033,Jyoti Parlour,19.0213133,72.8436089,9768704212,47,250,1,1
34,419720034,G Family Salon & Spa,19.1461315,73.2468108889,7137147023,45,150,2,1
35,419720035,Vertu Unisex Salon,19.1548656,73.0623245,8382028501,19,100,1,1
36,419720036,Asmi Beauty Salon,19.2109871,72.8633894,7641250036,31,200,1,1
37,419720037,Uds Family Salon & Spa,19.2812586,72.8747807,8631248201,53,100,1,1
38,419720038,Mirror & Faces,19.295630888889,72.84841977777799,9775867556,34,100,1,1
39,419720039,Lohara Saloon,19.207922694444,73.10314458333299,9204064076,24,250,2,1
40,419720040,Lucky Stylish Salon,19.0116453889,73.0120528889,8022188520,50,150,5,1
41,419720041,De Allure Unisex Salon,19.286122,72.869718,8861613726,52,250,1,1
42,419720042,Tresses Family Saloon,19.030286111111,73.065230555556,8253007271,18,100,2,1
43,419720043,La Imagica Family Spa & Sal..,19.1355122,72.832394,8061312274,29,250,1,1
44,419720044,Synk Salon Spa Nail Spa Da..,19.210629,72.87350500000001,9443841308,20,150,2,1
