,uid,name,latitude,longitude,contact,age,standard_rate,service_range,availability
0,419820000,Agarwal Home Shifting Pvt L..,19.0135583333,73.1142416667,7815034071,27,3500,5,1
1,419820001,Nav Bharat Cargo Packers & ..,19.047403,73.0804291,9415131405,29,3000,1,1
2,419820002,Kuber Logistic Movers & Pac..,19.088265425952002,73.000888143674,9847013745,47,3500,2,1
3,419820003,R K Cargo Packers & Movers,19.205822899999998,72.9774466,7218005253,21,4000,5,1
4,419820004,Sharda Packers & Movers,19.143593,72.99745899999999,7263503002,53,2000,5,1
5,419820005,Aradhya Packers and Movers,19.202205,72.95199000000001,8116247848,32,3000,1,1
6,419820006,F.F.C.S Enterprises,19.1239160833,72.8535786944,8052008018,55,3000,1,1
7,419820007,Singh Packers And Movers,19.263969260485002,72.964447629971,9464205504,49,5000,2,1
8,419820008,Eagle Shifting Solution Pvt..,19.126801999999998,72.919889,9182705883,44,3000,1,1
9,419820009,VBC Packers & Movers,19.161578,72.846204,9750302123,20,3500,1,1
10,419820010,Namo Arihant Packers And Mo..,19.106097222222,72.90245,9145247101,24,2000,5,1
11,419820011,Super Fast Movers and Packe..,19.0667151,73.0080691,9577805714,42,2000,1,1
12,419820012,Ma Karni Packers And Movers,19.070717841437,73.096496477309,9763445263,38,2000,5,1
13,419820013,INDIA Cargo Packers And Mov..,19.023433546023,73.095364650759,7138656765,52,2000,1,1
14,419820014,Transcity Packers And Mover..,19.223602399999997,72.849878,8821856151,35,4000,5,1
15,419820015,Mapway India Packers And Mo..,19.034359600000002,72.85616340000001,8757465500,51,3000,2,1
16,419820016,Lrc Cargo Movers & Packers,19.097972222221998,72.887488888889,9264176864,41,3000,5,1
17,419820017,Arnav Packers & Movers,19.1312903056,72.8639995833,8861721768,40,3500,2,1
18,419820018,Total Packers and Movers,19.303183999999998,72.870588,8744748470,45,2000,2,1
19,419820019,Diamond Packers And Movers,19.039926666667,73.100463333333,9816444235,33,3500,2,1
20,419820020,Pragati Logistics Services,19.067705555556,73.011155555556,9210170561,42,3000,2,1
21,419820021,Robot Packers and Movers,19.3840818531,72.8333339808,7845177842,31,3000,1,1
22,419820022,Narendra Packers & Movers,19.439327,72.855474,8170141631,20,4000,1,1
23,419820023,Indian Cargo Distributors,19.118719100000003,72.8551958,9481353772,35,4000,1,1
24,419820024,Mishra Packers and Movers,19.262447333333,72.871475194444,9807648542,46,4000,5,1
