,uid,name,latitude,longitude,contact,age,standard_rate,service_range,availability
0,419420000,Pest Busters,19.0744289523,72.9983441625,9517233608,27,600,1,1
1,419420001,Safe And Hygiene Solutions,19.063882297825998,72.996497010349,9864174400,42,800,1,1
2,419420002,Ashok Pest Control Service,19.16101348,72.83885405,9454413263,43,800,5,1
3,419420003,Global Pest Control,19.040997388900003,73.07856177779999,8076872034,23,600,2,1
4,419420004,Hindustan Pest Control,19.203817888889,73.09550608333299,9142422513,43,500,5,1
5,419420005,Roshan Pest Control Service..,19.209746083333002,72.834639277778,9884687677,24,500,5,1
6,419420006,G9 Pest Services,19.222059100000003,72.85884,7112572862,44,600,2,1
7,419420007,Vaishnavi Pest Control,19.124950388889,72.995628333333,7160800232,32,800,5,1
8,419420008,X Mission Pest Control,19.1009694444,72.9983972222,9654574361,21,600,2,1
9,419420009,Beetle Group India,19.173917000000003,72.860477,8774541816,25,800,1,1
10,419420010,Bhavani Pest Control Servic..,19.185985000000002,72.958383,9224751858,36,500,2,1
11,419420011,New Dynamic Pest Control,19.8115935,72.7595692,7060555353,50,600,5,1
12,419420012,AMK ENTERPRISES Netting & P..,19.2874259,72.8761809,9302661011,55,500,2,1
13,419420013,Sajiree Pest Control,19.227596333333,73.166596888889,8203873722,36,500,2,1
14,419420014,Sdk Pest Control Services,19.02277778,73.12444444,8184526412,54,600,1,1
15,419420015,Smart Tech Pest Control,19.433907,72.8231,9488053314,19,500,1,1
16,419420016,Saurashtra Pest Control,18.95533611,72.83506667,7653272677,23,500,2,1
17,419420017,The Rising Pest Control Ser..,19.0140522,73.03562120000001,9560371272,24,600,5,1
18,419420018,Green Power Pest Control,19.260377,72.97059499999999,7824560381,56,500,2,1
19,419420019,Manushree Pest Control,19.14455,72.9959027778,7056102005,46,500,1,1
20,419420020,G. T.Pest Control Pvt Ltd,19.062175,73.014305555556,9307440464,30,500,5,1
21,419420021,Santosh Pest Control,19.229687600000002,72.8540948,7575786734,30,500,1,1
22,419420022,Aqua Pest Solutions,19.20540556,72.95308611,9710111238,29,500,1,1
23,419420023,Quality Pest Control Servic..,19.14621,72.936388,7312432757,49,800,5,1
24,419420024,Retina Pest Control and Bir..,19.069237,72.8377007,7626176244,23,800,1,1
25,419420025,Pcs India,19.119871300000003,72.8459984,9186832022,43,600,2,1
26,419420026,Innov Pest Management,19.077208300000002,72.9098232,9146663031,19,600,5,1
27,419420027,Eureka Pest Control Service..,19.204497401163,72.952867921314,8321718584,52,500,1,1
28,419420028,Star Link Pest Control Serv..,19.2356171,73.1270578,8452622817,49,500,2,1
29,419420029,A to Z Pest Control,19.057893,72.90193199999999,9376205174,22,500,5,1
30,419420030,Hi Tech Pest Management,19.307630300000003,72.85486929999999,7723340806,48,600,1,1
31,419420031,Natural Pest Solutions,19.2476583333,72.8722833333,9342403528,50,500,2,1
32,419420032,Smart Care Pest Solutions,19.250923999999998,72.853737,8218486787,49,500,2,1
33,419420033,Psi Pest Solution Of INDIA,18.9552527778,72.8170555556,8203126836,26,500,1,1
34,419420034,Deepcare Pest Control,19.023541666667,73.024855555556,8273552346,44,500,5,1
35,419420035,S S Pest Control Services,19.184809972222,72.954410972222,9585615120,20,500,1,1
36,419420036,Ekveera Pest Control,19.2117210897,73.19832882840001,9802686310,23,600,5,1
37,419420037,Vishal Pest Control,19.0259165556,72.8349349722,8404172716,22,600,1,1
38,419420038,Bluebells Pest Control,19.197712,72.865341,9282161435,49,600,2,1
39,419420039,Servemart,19.048168899999997,73.0691081,8330643815,56,500,1,1
40,419420040,Avighna Pest Control Servic..,19.0028341,72.8192367,7364800655,30,800,1,1
41,419420041,Nam Pest Control Services,19.013462,73.0235696,7562336322,56,500,5,1
42,419420042,BIPS Pest Control Services,19.133218,72.835031,9136111517,28,500,1,1
43,419420043,Sai Pest Control,19.138439872892,72.810242400984,7527067524,44,800,5,1
44,419420044,Alliance Pest Control,19.061086,72.916747,8356721661,48,500,2,1
45,419420045,Parth Pest Control Science,18.997158,73.1220922,9320772456,32,800,5,1
46,419420046,Nirmal Pest Control,18.954641842062,72.839565405979,8740233188,36,500,1,1
47,419420047,S V Care,19.2297946,72.860495,7264277301,41,500,2,1
48,419420048,Stopar Pest Control Operati..,19.059097290037002,72.844406127939,9353252281,48,500,2,1
49,419420049,Perfect Pest Control,19.202823972222,72.963231083333,9177556666,24,800,2,1
50,419420050,Mandar Pest Control,19.176278882678,72.839586054974,7568285171,55,800,5,1
51,419420051,Hichem Infracare Solutions,19.1682252,73.2251747,9431335735,18,600,5,1
52,419420052,Vm7 Pest Control Services,19.089736111110998,72.837394444444,8601882854,52,600,2,1
53,419420053,ORKIN INDIA Pest Control Se..,19.107492836192,72.882844051346,9005534763,20,500,2,1
54,419420054,Organic Pest Control Pvt Lt..,19.231782,72.867094,8284588176,36,600,2,1
55,419420055,Clean & Clean Enterprises,19.1655065,73.04505959999999,9225875122,35,800,1,1
56,419420056,Sai Jyot Pest Control Servi..,19.2948841,72.87690649999999,7705525844,55,800,5,1
57,419420057,Pest Control Indrica,19.303118972222,73.055469777778,9784358228,38,800,2,1
58,419420058,Icon Pest Control,19.4041408,72.83227009999999,8141787673,48,500,5,1
59,419420059,Green Power Pest Control,19.2580771,73.1344612,9007148321,49,800,5,1
