,uid,name,latitude,longitude,contact,age,standard_rate,service_range,availability
0,419220000,Ahmed Ali Plumbing Contract..,19.111408340881,72.83568576340299,7143454250,43,250,5,1
1,419220001,Sikandar Plumbing Contracto..,19.147299248699998,72.8386292607,7454816755,46,250,2,1
2,419220002,Sayed Plumber,19.072816833333,72.842819194444,8552788881,44,300,2,1
3,419220003,Floend Plumbing Solutions,19.01554408,73.02974028,8687607852,30,300,2,1
4,419220004,Plumbros,19.031017000000002,73.09859499999999,7722614364,47,300,2,1
5,419220005,A Z Enterprises,19.243869,72.867979,8411213726,31,400,5,1
6,419220006,Jai Maa Bhavani Plumbing,19.210024800000003,73.0974934,7664372542,39,250,5,1
7,419220007,New Jai Maa Bhavani Tiles A..,19.220321638889,73.110504138889,9623400345,50,400,5,1
8,419220008,Aarzoo Plumber,18.969077,72.809864,9680035834,38,250,1,1
9,419220009,Noor Plumbing Works,19.061706,72.922834,8201042781,49,400,1,1
10,419220010,Bharat Enterprises,19.0185271944,73.09199097220001,7188720326,41,250,2,1
11,419220011,Tukalwar Plumbing Contracto..,19.141005777778002,72.834002194444,8676182476,18,250,1,1
12,419220012,S S G Electrical & Plumbing..,19.095504767575,73.007431025572,9252602771,21,400,5,1
13,419220013,Siddhivinayak Sanitation,19.294436111111,72.848105555556,8223201270,25,250,1,1
14,419220014,Mohan Plumber,19.278091377574,72.87119865417499,7860038323,54,250,2,1
15,419220015,Navyaa Electrical,19.1011916667,72.9191972222,9834080872,21,400,2,1
16,419220016,N A Plumbing Works,19.186723,72.83268699999999,9131713502,29,300,1,1
17,419220017,Abdul Kalam Plumber,19.0973205,72.842410472222,8506312472,50,250,2,1
18,419220018,Sangam Ceramics,19.047731,73.075351,9448347643,45,250,1,1
19,419220019,Vinayak Eletricals,19.070921293478,72.828258918666,7772758678,48,200,1,1
20,419220020,Devanshi Plumber,19.143180115158998,72.832100257136,8227072651,43,400,1,1
21,419220021,Ashok Electrical Work,19.071495307,73.0281771334,8716605382,53,300,5,1
22,419220022,Pawan Khade Consulting Engi..,19.3098052,72.8809012,9106565345,44,300,5,1
23,419220023,Rahim Plumber,19.07294,72.844167,8422056876,24,200,5,1
24,419220024,Munna Plumber,19.030688797699998,73.0650990329,8755033305,56,400,5,1
